											
Stock Diario Teclados N°2											
											
BARRA											
Producto	Unidades	Porciones	Stock requerido	Inicio		Reposición		Inicio Turno		Final Turno	
				Unidades	Porciones	Unidades	Porciones	Unidades	Porciones	Unidades	Porciones
CERVEZAS											
STELLA SIN ALCOHOL	1 UNID		10	2				2	0	0	
BUDWEISER  	1 UNID		20	12				12	0	15	
CORONA NORMAL  	1 UNID		48	30		18		48	0	42	
CUSQUEÑA DARK LAGER   	1 UNID		5	0				0	0	0	
CUSQUEÑA GOLDEN LAGER 	1 UNID		10	8				8	0	8	
CUSQUEÑA RED LAGER 	1 UNID		5	0				0	0	0	
CUSQUEÑA TRIGO 	1 UNID		5	0				0	0	0	
NEGRA MODELO 	1 UNID		10	0				0	0	0	
STELLA   	1 UNID		20	20				20	0	20	
BATALLA											
AMARETO BOLS	1 UNID	POR BOTELLA	2	2				2	0	2	
BITTER 	1 UNID	POR BOTELLA	1	1				1	0	1	
BLUE CURACAO 	1 UNID = 750 CC	POR BOTELLA	2	2				2	0	2	
BOTELLON BODEGA UNO TINTO	1 UNID	POR BOTELLA	6	5				5	0	5	
CACHAZA JAMEL	1 UNID = 900 CC	POR BOTELLA	3	3				3	0	3	
CINZANO ROSSO 	1 UNID	POR BOTELLA	1	0		1		1	0	1	
COGÑAC TRES PALOS	1 UNID	POR BOTELLA	3	3				3	0	3	
CREMA DE CASSIS	1 UNID	POR BOTELLA	2	2				2	0	2	
GIN BATALLA	1 UNID = 1 LT	POR BOTELLA	3	3				3	0	3	
GRANADINA 	1 UNID	POR BOTELLA	3	3				3	0	2	
WISKY BATALLA JAMES KING  3 AÑOS LITRO	1 UNID	POR BOTELLA	2	2				2	0	2	
VODKA BATALLA 	1 UNID = 1 LT O 750 CC	POR BOTELLA	6	6				6	0	6	
LICOR DE CAFÉ 	1 UNID	POR BOTELLA	2	2				2	0	2	
LICOR DE WHISKY	1 UNID	POR BOTELLA	1	1				1	0	1	
BRUJAS DE SALAMANCA 35°	1 UNID = 750 CC	10 PORCIONES	3	2		1		3	0	2	
RON BLANCO  BATALLA	1 UNID= 1,5 LTS 	POR BOTELLA	20	14		6		20	0	16	
RON DORADO BATALLA	1 UNID	POR BOTELLA	2	2				2	0	2	
TEQUILA BATALLA	1 UNID = 1 LT	POR BOTELLA	4	3				3	0	3	
TRIPLE SEC	1 UNID	POR BOTELLA	3	3				3	0	3	
BEBIDAS Y AGUAS											
AGUA MINERAL            	1 UNID = 1.6 LT		12	8		4		12	0	10	
COCA COLA NORMAL   GR	1 UNID = 1.5 LT		6	3				3	0	3	
COCA COLA ZERO  GR	1 UNID = 1.5 LT		6	3		3		6	0	6	
COCACOLA 350CC	1 UNID = 350 CC		60	34				34	0	30	
COCACOLA 220CC	1 UNID = 220 CC		24	23				23	0	21	
COCACOLA LIGHT 350 CC	1 UNID = 350 CC		48	35		12		47	0	45	
COCACOLA LIGHT 220CC	1 UNID = 220 CC		48	0				0	0	0	
COCACOLA ZERO 350 CC	1 UNID = 350 CC		90	72		18		90	0	74	
COCACOLA ZERO 220CC	1 UNID = 220 CC		50	18				18	0	31	
FANTA 	1 UNID = 350 CC		12	10		2		12	0	9	
FENTIMANS LIGHT TONIC WATER 	1 UNID		12	12				12	0	12	
FENTIMANS TONIC WATER 	1 UNID		12	12				12	0	12	
SCHWEPPES GINGER ALE 	1 UNID = 350 CC		18	16				16	0	14	
GINGER ALE ZERO GRANDE 	1 UNID = 1.5 LT		6	3				3	0	3	
SCHWEPPES GINGER ZERO	1 UNID = 350 CC		24	15		7		22	0	17	
GINGER BEER	1 UNID		24	11				11	0	8	
MINERAL VITAL VIDRIO  CON GAS	1 UNID = 330 CC		15	9		4		13	0	7	
MINERAL VITAL VIDRIO SIN GAS 	1 UNID = 330 CC		24	21		3		24	0	15	
SPRITE 350CC	1 UNID = 350 CC		18	13		6		19	0	15	
SPRITE  220CC	1 UNID = 220 CC		18	16				16	0	16	
SPRITE ZERO 350CC	1 UNID = 350 CC		24	25				25	0	19	
SCHWEPPES TONICA	1 UNID = 350 CC		36	17				17	0	36	
TONICA     GR                  	1 UNID = 1.5 LT		6	0		6		6	0	6	
LONG Y PULPAS											
PULPA FRAMBUESA	PULPA	1 PULPA = 18 PORC	4K	0		2		2	0	0	
PULPA FRUTILLA	PULPA	1 PULPA = 16 PORC	3K	0				0	0	0	
JUGO NARANJA TETRA 	1 UNID = 1 LT		10	8		2		10	0	10	
JUGO PIÑA TETRA	1 UNID = 1 LT		8	6		2		8	0	9	
PULPA MANGO	PULPA	1 PULPA = 18 PORC	4K	0				0	0	0	
PULPA MARACUYÁ	PULPA	1 PULPA = 16 PORC	2K	0		2		2	0	0	
PULPA LIMON 	PULPA 		10k	2		6		8	0	4	
ENERGÉTICAS											
MONSTER	1 UNID		10	0				0	0	0	
RED BULL YELLOW EDITIONS 	1 UNID		30	17				17	0	17	
RED BULL NORMAL	1 UNID		24	22				22	0	22	
RED BULL S/A	1 UNID		18	17				17	0	17	
VINOS Y ESPUMANTES											
BRUT RICCADONA	1 UNID = 750 CC	POR BOTELLA 	2	3				3	0	3	
CARMEN GRAN RESERVA CABERNET SAUV	1 UNID = 750 CC	POR BOTELLA 	2	2				2	0	2	
MEDALLA REAL RESERVA CARMENERE	1 UNID = 750 CC	POR BOTELLA 	2	2				2	0	1	
CARMEN GRAN RVA FRIDA KAHLO CARMENERE	1 UNID = 750 CC	POR BOTELLA 	2	2				2	0	2	
MEDALLA REAL RESERVA BLANCO CHARDONNAY	1 UNID = 750 CC	POR BOTELLA 	2	2				2	0	1	
CASA REAL MERLOT	1 UNID = 750 CC	POR BOTELLA 	2	2				2	0	2	
MOSCATO ROSE  	1 UNID = 750 CC	POR BOTELLA	2	1				1	0	1	
PROSECCO 	1 UNID = 750 CC	POR BOTELLA	2	2				2	0	2	
CHAMPAGNE UNDURRAGA BRUT 	1 UNID = 750 CC	5 PORCIONES	12	9				9	0	9	
MARTINI DRY	1 UNID = 750 CC	10 PORCIONES	1	1				1	0	1	
CINZANO BIANCO	1 UNID	10 PORCIONES	1	1				1	0	1	
VODKA											
ABSOLUT AZUL	1 UNID	10 PORCIONES	2	1	0			1	0	1	0
ABSOLUT MANGO	1 UNID	10 PORCIONES	2	1	9			1	9	1	9
ABSOLUT PEPPAR	1 UNID	10 PORCIONES	2	1	3			1	3	1	3
ABSOLUT PERA	1 UNID	10 PORCIONES	2	1	9			1	9	1	9
ABSOLUT RAZZ	1 UNID	10 PORCIONES	3	2	1			2	1	2	1
ABSOLUT VAINILLA	1 UNID	10 PORCIONES	2	2	0			2	0	2	0
STOLICH 	1 UNID	10 PORCIONES	2	1	10			1	10	1	10
SMIRNOFF	1 UNID = 1 LT	23 PORCIONES	3	1	0			1	0	1	0
WHISKEY											
JACK DANIELS 	1 UNID = 750 CC	10 PORCIONES	3	1	3			1	3	3	0
JACK DANIELS FIRE	1 UNID = 750 CC	10 PORCIONES	1	1	6			1	6	1	5
JACK DANIELS APPLE	1 UNID = 750 CC	10 PORCIONES	1	1	4			1	4	0	4
JACK HONEY 	1 UNID	10 PORCIONES	1	0	12			0	12	1	12
JOHNNIE NEGRO 	1 UNID = 750CC	10 PORCIONES	2	1	9			1	9	1	9
JOHNNIE ROJO 	1 UNID = 750CC	10 PORCIONES	2	1	1			1	1	1	1
JOHNNIE BLONDE	1 UNID = 750 CC	10 PORCIONES	1	1	7			1	7	1	7
THE SINGLETON 12 YO 	1 UNID = 750 CC	10 PORCIONES	1	1	3			1	3	1	3
